label,slack,ok-example,ng-example,basic-reason,reason,expected,pattern,prh,spec:from,spec:to,status,only use textlint,record_id,add next to textlint,use textlint,UIテキスト,assign
そば,,そば,側,"[""recWCPX1UhchVaFjO""]",,そば$1,/(?<![々〇〻\u3400-\u9FFF\uF900-\uFAFF]|[\uD840-\uD87F][\uDC00-\uDFFF])側([にへが])/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,ボタンの側にある,ボタンのそばにある,"[""定義済""]",,recpkEiU0mJ7NbF4U,,true,,
そふとうぇあ,,ソフトウェア,ソフトウエア,,"[""recvhB6VJstpBQKeV""]",ソフトウェア,ソフトウエア,「ウィ/ウェ/ウォ」を使用する https://smarthr.design/products/writing/idiomatic-usage/usage/,ソフトウエア,ソフトウェア,"[""定義済""]",,recBW07R2RyqFOHMw,,true,,
たいぽぐらふぃ,,タイポグラフィ,タイポグラフィー,,"[""recKk3i3NODrXp6D3""]",タイポグラフィ,タイポグラフィー,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,タイポグラフィー,タイポグラフィ,"[""定義済""]",,recLHVZKwHfbcIsFD,,true,,
だうんろーど,,ダウンロード,-,,"[""recRxfQ11NyiacwiO""]",,,,,,"[""定義不要""]",,recktiTgd8d6ozIWy,,,,
たくさん,,たくさん,沢山,"[""recWCPX1UhchVaFjO""]",,たくさん,沢山,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,沢山,たくさん,"[""定義済"",""外部プラグインで定義済""]",,recVUPwlgr8J0rSJ5,,true,,
ただ,,ただ,只,"[""recWCPX1UhchVaFjO""]",,ただ,只,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,只,ただ,"[""定義済""]",,recJkDfSJ5I9L57AY,,true,,
ただし,,ただし,但し,"[""recWCPX1UhchVaFjO""]",,ただし,但し,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,但し,ただし,"[""定義済""]",,recvHhRzLycoX5bmT,,true,,
ため,,ため,為,"[""recWCPX1UhchVaFjO""]",,ため$1,/為([にで])/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,為です,ためです,"[""定義済"",""外部プラグインで定義済""]",,recup47l9UVN9Sxkd,,true,,
たんとうしゃさま,,担当者さま,担当者様,,"[""recmtqX0vFmEftHk2""]",担当者さま,担当者様,お客さま、管理者さま、担当者さま、ユーザーさまを使い分ける,担当者さま,担当者様,"[""別の行で定義""]",,recWfSTUkD6Uz5WCq,,,,
ちぇっくをいれる,true,（チェックボックスに）チェックを入れる/外す,チェックする,,,,,,,,"[""定義不能""]",,recaodAeS373hiKHo,,,,
つうちひょうじ,true,通知表示,"通知アイコン,通知マーク",,,,,,,,,,recEC9hJZqtf2ZYAK,,,,
つける,,つける,付ける,"[""recWCPX1UhchVaFjO""]",,つけ$1,/(?<!受け|貼り|紐)付け([なてるれよ])/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/writing/idiomatic-usage/usage/,"付けない,付けて,付ける,付ければ,付けよう","つけない,つけて,つける,つければ,つけよう","[""定義済""]",,rec9rHtmUUf4TyaTj,,true,,ibulog
できる,,できる,出来る,"[""recWCPX1UhchVaFjO""]",,でき$1,/出来([かがのをは過す損ずなまるたれてそ])/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,出来る,できる,"[""定義済""]",,recXqUKacKZXtOfP1,,true,,
てびき,true,手引き,手引,,"[""recm8V38MkxhYrKNr""]",手引き,/手引(?!き)/,送りがなを付けて表記する https://smarthr.design/products/contents/idiomatic-usage/usage/#recm8V38MkxhYrKNr-0,"サーベイ実施の手引を参照,手引き","サーベイ実施の手引きを参照,手引き","[""定義済""]",,recln33xhC5i3nbIB,,true,,mad
てらばいと,,TB,テラバイト,,"[""recmk5vIbS65cWjA6""]",TB,テラバイト,ファイルサイズは基本的に英字2文字で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/#recmk5vIbS65cWjA6-0,1テラバイト,1TB,"[""定義済""]",,reckCwB1Kp8vZxcn4,true,true,,kuny
といあわせ,,問い合わせ,問合せ,,"[""recm8V38MkxhYrKNr""]",問い合わせ,問合せ,送りがなを付けて表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,問合せ,問い合わせ,"[""定義済""]",,recZ9wwhBZRLO8OXO,,true,,
